#LINK
#lang	ja
#attribution_url	http://databasediv.com/
#attribution_name	KeitarouNakayama
#license	http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#file_name	Joyo_Kanji
#download_from	http://linkdata.org/work/rdf1s3597i
#property	漢字	部首	画数	学年	年	よみ
#object_type_xsd	string:ja	string:ja	int	string:ja	int	string:ja
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
1	亜	二	7	7		ア
2	哀	口	9	7		アイ|あわ-れ|あわ-れむ
3	挨	手	10	7	2010	アイ
4	愛	心	13	4		アイ
5	曖	日	17	7	2010	アイ
6	悪	心	11	3		アク|オ|わる-い
7	握	手	12	7		アク|にぎ-る
8	圧	土	5	5		アツ
9	扱	手	6	7		あつか-う
10	宛	宀	8	7	2010	あ-てる
11	嵐	山	12	7	2010	あらし
12	安	宀	6	3		アン|やす-い
13	案	木	10	4		アン
14	暗	日	13	3		アン|くら-い
15	以	人	5	4		イ
16	衣	衣	6	4		イ|ころも
17	位	人	7	4		イ|くらい
18	囲	囗	7	4		イ|かこ-む|かこ-う
19	医	酉	7	3		イ
20	依	人	8	7		イ|（エ）
21	委	女	8	3		イ|ゆだ-ねる
22	威	女	9	7		イ
23	為	爪	9	7		イ
24	畏	田	9	7	2010	イ|おそ-れる
25	胃	肉	9	4		イ
26	尉	寸	11	7		イ
27	異	田	11	6		イ|こと
28	移	禾	11	5		イ|うつ-る|うつ-す
29	萎	艸	11	7	2010	イ|な-える
30	偉	人	12	7		イ|えら-い
31	椅	木	12	7	2010	イ
32	彙	彐	13	7	2010	イ
33	意	心	13	3		イ
34	違	辵	13	7		イ|ちが-う|ちが-える
35	維	糸	14	7		イ
36	慰	心	15	7		イ|なぐさ-める|なぐさ-む
37	遺	辵	15	6		イ|（ユイ）
38	緯	糸	16	7		イ
39	域	土	11	6		イキ
40	育	肉	8	3		イク|そだ-つ|そだ-てる|はぐく-む
41	一	一	1	1		イチ|イツ|ひと|ひと-つ
42	壱	士	7	7		イチ
43	逸	辵	11	7		イツ
44	茨	艸	9	7	2010	（いばら）
45	芋	艸	6	7		いも
46	引	弓	4	2		イン|ひ-く|ひ-ける
47	印	卩	6	4		イン|しるし
48	因	囗	6	5		イン|よ-る
49	咽	口	9	7	2010	イン
50	姻	女	9	7		イン
51	員	口	10	3		イン
52	院	阜	10	3		イン
53	淫	水	11	7	2010	イン|みだ-ら
54	陰	阜	11	7		イン|かげ|かげ-る
55	飲	食	12	3		イン|の-む
56	隠	阜	14	7		イン|かく-す|かく-れる
57	韻	音	19	7		イン
58	右	口	5	1		ウ|ユウ|みぎ
59	宇	宀	6	6		ウ
60	羽	羽	6	2		ウ|は|はね
61	雨	雨	8	1		ウ|あめ|（あま）
62	唄	口	10	7	2010	（うた）
63	鬱	鬯	29	7	2010	ウツ
64	畝	田	10	7		うね
65	浦	水	10	7		うら
66	運	辵	12	3		ウン|はこ-ぶ
67	雲	雨	12	2		ウン|くも
68	永	水	5	5		エイ|なが-い
69	泳	水	8	3		エイ|およ-ぐ
70	英	艸	8	4		エイ
71	映	日	9	6		エイ|うつ-る|うつ-す|は-える
72	栄	木	9	4		エイ|さか-える|は-え|は-える
73	営	火	12	5		エイ|いとな-む
74	詠	言	12	7		エイ|よ-む
75	影	彡	15	7		エイ|かげ
76	鋭	金	15	7		エイ|するど-い
77	衛	行	16	5		エイ
78	易	日	8	5		エキ|イ|やさ-しい
79	疫	疒	9	7		エキ|（ヤク）
80	益	皿	10	5		エキ|（ヤク）
81	液	水	11	5		エキ
82	駅	馬	14	3		エキ
83	悦	心	10	7		エツ
84	越	走	12	7		エツ|こ-す|こ-える
85	謁	言	15	7		エツ
86	閲	門	15	7		エツ
87	円	囗	4	1		エン|まる-い
88	延	廴	8	6		エン|の-びる|の-べる|の-ばす
89	沿	水	8	6		エン|そ-う
90	炎	火	8	7		エン|ほのお
91	怨	心	9	7	2010	エン|オン
92	宴	宀	10	7		エン
93	媛	女	12	7	2010	エン
94	援	手	12	7		エン
95	園	囗	13	2		エン|その
96	煙	火	13	7		エン|けむ-る|けむり|けむ-い
97	猿	犬	13	7	1981	エン|さる
98	遠	辵	13	2		エン|（オン）|とお-い
99	鉛	金	13	7		エン|なまり
100	塩	鹵	13	4		エン|しお
101	演	水	14	5		エン
102	縁	糸	15	7		エン|ふち
103	艶	色	19	7	2010	エン|つや
104	汚	水	6	7		オ|けが-す|けが-れる|けが-らわしい|よご-す|よご-れる|きたな-い
105	王	玉	4	1		オウ
106	凹	凵	5	7	1981	オウ
107	央	大	5	3		オウ
108	応	心	7	5		オウ|こた-える
109	往	彳	8	5		オウ
110	押	手	8	7		オウ|お-す|お-さえる
111	旺	日	8	7	2010	オウ
112	欧	欠	8	7		オウ
113	殴	殳	8	7		オウ|なぐ-る
114	桜	木	10	5		オウ|さくら
115	翁	羽	10	7		オウ
116	奥	大	12	7		オウ|おく
117	横	木	15	3		オウ|よこ
118	岡	山	8	7	2010	（おか）
119	屋	尸	9	3		オク|や
120	億	人	15	4		オク
121	憶	心	16	7		オク
122	臆	肉	17	7	2010	オク
123	虞	虍	13	7		おそれ
124	乙	乙	1	7		オツ
125	俺	人	10	7	2010	おれ
126	卸	卩	9	7		おろ-す|おろし
127	音	音	9	1		オン|イン|おと|ね
128	恩	心	10	5		オン
129	温	水	12	3		オン|あたた-か|あたた-かい|あたた-まる|あたた-める
130	穏	禾	16	7		オン|おだ-やか
131	下	一	3	1		カ|ゲ|した|しも|もと|さ-げる|さ-がる|くだ-る|くだ-す|くだ-さる|お-ろす|お-りる
132	化	匕	4	3		カ|ケ|ば-ける|ば-かす
133	火	火	4	1		カ|ひ|（ほ）
134	加	力	5	4		カ|くわ-える|くわ-わる
135	可	口	5	5		カ
136	仮	人	6	5		カ|（ケ）|かり
137	何	人	7	2		カ|なに|（なん）
138	花	艸	7	1		カ|はな
139	佳	人	8	7		カ
140	価	人	8	5		カ|あたい
141	果	木	8	4		カ|は-たす|は-てる|は-て
142	河	水	8	5		カ|かわ
143	苛	艸	8	7	2010	カ
144	科	禾	9	2		カ
145	架	木	9	7		カ|か-ける|か-かる
146	夏	夊	10	2		カ|（ゲ）|なつ
147	家	宀	10	2		カ|ケ|いえ|や
148	荷	艸	10	3		カ|に
149	華	艸	10	7		カ|（ケ）|はな
150	菓	艸	11	7		カ
151	貨	貝	11	4		カ
152	渦	水	12	7	1981	カ|うず
153	過	辵	12	5		カ|す-ぎる|す-ごす|あやま-つ|あやま-ち
154	嫁	女	13	7		カ|よめ|とつ-ぐ
155	暇	日	13	7		カ|ひま
156	禍	示	13	7		カ
157	靴	革	13	7	1981	カ|くつ
158	寡	宀	14	7		カ
159	歌	欠	14	2		カ|うた|うた-う
160	箇	竹	14	7		カ
161	稼	禾	15	7	1981	カ|かせ-ぐ
162	課	言	15	4		カ
163	蚊	虫	10	7		か
164	牙	牙	4	7	2010	ガ|（ゲ）|きば
165	瓦	瓦	5	7	2010	ガ|かわら
166	我	戈	7	6		ガ|われ|わ
167	画	田	8	2		ガ|カク
168	芽	艸	8	4		ガ|め
169	賀	貝	12	5		ガ
170	雅	隹	13	7		ガ
171	餓	食	15	7		ガ
172	介	人	4	7		カイ
173	回	囗	6	2		カイ|（エ）|まわ-る|まわ-す
174	灰	火	6	6		カイ|はい
175	会	曰	6	2		カイ|エ|あ-う
176	快	心	7	5		カイ|こころよ-い
177	戒	戈	7	7		カイ|いまし-める
178	改	攴	7	4		カイ|あらた-める|あらた-まる
179	怪	心	8	7		カイ|あや-しい|あや-しむ
180	拐	手	8	7	1981	カイ
181	悔	心	9	7		カイ|く-いる|く-やむ|くや-しい
182	海	水	9	2		カイ|うみ
183	界	田	9	3		カイ
184	皆	白	9	7		カイ|みな
185	械	木	11	4		カイ
186	絵	糸	12	2		カイ|エ
187	開	門	12	3		カイ|ひら-く|ひら-ける|あ-く|あ-ける
188	階	阜	12	3		カイ
189	塊	土	13	7		カイ|かたまり
190	楷	木	13	7	2010	カイ
191	解	角	13	5		カイ|ゲ|と-く|と-かす|と-ける
192	潰	水	15	7	2010	カイ|つぶ-す|つぶ-れる
193	壊	土	16	7		カイ|こわ-す|こわ-れる
194	懐	心	16	7		カイ|ふところ|なつ-かしい|なつ-かしむ|なつ-く|なつ-ける
195	諧	言	16	7	2010	カイ
196	貝	貝	7	1		かい
197	外	夕	5	2		ガイ|ゲ|そと|ほか|はず-す|はず-れる
198	劾	力	8	7		ガイ
199	害	宀	10	4		ガイ
200	崖	山	11	7	2010	ガイ|がけ
201	涯	水	11	7	1981	ガイ
202	街	行	12	4		ガイ|（カイ）|まち
203	慨	心	13	7		ガイ
204	蓋	艸	13	7	2010	ガイ|ふた
205	該	言	13	7		ガイ
206	概	木	14	7		ガイ
207	骸	骨	16	7	2010	ガイ
208	垣	土	9	7	1981	かき
209	柿	木	9	7	2010	かき
210	各	口	6	4		カク|おのおの
211	角	角	7	2		カク|かど|つの
212	拡	手	8	6		カク
213	革	革	9	6		カク|かわ
214	格	木	10	5		カク|（コウ）
215	核	木	10	7		カク
216	殻	殳	11	7	1981	カク|から
217	郭	邑	11	7		カク
218	覚	見	12	4		カク|おぼ-える|さ-ます|さ-める
219	較	車	13	7		カク
220	隔	阜	13	7		カク|へだ-てる|へだ-たる
221	閣	門	14	6		カク
222	確	石	15	5		カク|たし-か|たし-かめる
223	獲	犬	16	7		カク|え-る
224	嚇	口	17	7		カク
225	穫	禾	18	7		カク
226	学	子	8	1		ガク|まな-ぶ
